date,tp
10/07/2021,0.095877394
11/07/2021,0.004054441
12/07/2021,0.002041129
13/07/2021,0.001778872
14/07/2021,0.011980545
15/07/2021,0.001759006
16/07/2021,0
17/07/2021,0.004287489
18/07/2021,0.006674381
19/07/2021,0.005960432
20/07/2021,0.000275502
21/07/2021,0.003698135
22/07/2021,0.021492265
23/07/2021,0.004145844
24/07/2021,0.000688765
25/07/2021,9.27E-06
26/07/2021,0
27/07/2021,0.000149673
28/07/2021,0.000150998
29/07/2021,0.001956366
30/07/2021,0.002788161
31/07/2021,0.005337955
01/08/2021,0.002366961
02/08/2021,0.02501512
03/08/2021,0.017390061
04/08/2021,0.002382877
05/08/2021,0.000607969
06/08/2021,0.001748416
07/08/2021,0.027289633
08/08/2021,0.0641689
09/08/2021,0.045516778
10/08/2021,0.008587079
11/08/2021,0
12/08/2021,0.11000432
13/08/2021,0.008274582
14/08/2021,0.002615982
15/08/2021,0.003809391
16/08/2021,0.000120534
17/08/2021,0.003443813
18/08/2021,0.07483494
19/08/2021,0.1184737
20/08/2021,0.024856413
21/08/2021,0.03061826
22/08/2021,0.026528025
23/08/2021,0.000720546
24/08/2021,0.00030729
25/08/2021,0.000478161
26/08/2021,0
27/08/2021,0.000272857
28/08/2021,0.007691617
29/08/2021,0.004904809
30/08/2021,0.014763423
31/08/2021,0.000958977
01/09/2021,0.014581921
02/09/2021,5.30E-06
03/09/2021,0.0045856
04/09/2021,0.007310207
05/09/2021,0.0028716
06/09/2021,0.009433441
07/09/2021,0.02844725
08/09/2021,0.022323947
09/09/2021,0
10/09/2021,0.015792515
11/09/2021,0.22087419
12/09/2021,0.40781182
13/09/2021,0.12209417
14/09/2021,0.42517734
15/09/2021,0.006621381
16/09/2021,0.02765651
17/09/2021,0.000470214
18/09/2021,0.005588329
19/09/2021,2.52E-05
20/09/2021,0.20847453
21/09/2021,0.1267169
22/09/2021,0.07079445
23/09/2021,0.12875077
24/09/2021,0.18610908
25/09/2021,0.2630539
26/09/2021,0.19424418
27/09/2021,0.014151542
28/09/2021,0.00292989
29/09/2021,0.001594739
30/09/2021,0.014384614
01/10/2021,0.030295096
02/10/2021,0.06207754
03/10/2021,0.15390515
04/10/2021,0.48387507
05/10/2021,0.04799504
06/10/2021,0.04982412
07/10/2021,0.009432097
08/10/2021,0.00254841
09/10/2021,0.003483592
10/10/2021,0.012918291
11/10/2021,0.027016737
12/10/2021,0.000535115
13/10/2021,0.009797661
14/10/2021,0.002629204
15/10/2021,0.021651082
16/10/2021,0.048463807
17/10/2021,0.20347445
18/10/2021,1.1752824
19/10/2021,0.39943156
20/10/2021,0.04011646
21/10/2021,0.09159383
22/10/2021,0.11128698
23/10/2021,0.15382631
24/10/2021,0.07437322
25/10/2021,0.044337854
26/10/2021,0.40980121
27/10/2021,0.6181827
28/10/2021,0.21872886
29/10/2021,0.099628925
30/10/2021,0.35331774
31/10/2021,0.7988916
01/11/2021,0.44187605
02/11/2021,0.39293495
03/11/2021,0.05646273
04/11/2021,0.5311587
05/11/2021,0.71264726
06/11/2021,0.17300695
07/11/2021,0.5033936
08/11/2021,0.2701123
09/11/2021,0.8794765
10/11/2021,0.7991557
11/11/2021,1.2847592
12/11/2021,0.36212862
13/11/2021,0.86049145
14/11/2021,0.741341
15/11/2021,1.095942
16/11/2021,0.4755937
17/11/2021,0.24555635
18/11/2021,0.096966304
19/11/2021,1.1119162
20/11/2021,1.0300555
21/11/2021,0.15614015
22/11/2021,0.39060336
23/11/2021,0.83805394
24/11/2021,0.54272455
25/11/2021,0.39441404
26/11/2021,0.67460304
27/11/2021,0.48803467
28/11/2021,0.86665606
29/11/2021,0.1207592
30/11/2021,0.7635235
01/12/2021,0.216402
02/12/2021,0.7537596
03/12/2021,0.23118395
04/12/2021,1.6328267
05/12/2021,0.29135245
06/12/2021,0.5367906
07/12/2021,0.3004387
08/12/2021,0.5883732
09/12/2021,0.38643923
10/12/2021,0.38487303
11/12/2021,0.41281062
12/12/2021,0.304767
13/12/2021,0.5195696
14/12/2021,0.3577883
15/12/2021,0.89686054
16/12/2021,0.9917578
17/12/2021,0.502994
18/12/2021,0.123326264
19/12/2021,0.67816645
20/12/2021,1.0409322
21/12/2021,0.626817
22/12/2021,0.017247023
23/12/2021,0.409019
24/12/2021,0.16937806
25/12/2021,0.24879964
26/12/2021,0.21869868
27/12/2021,0.49848503
28/12/2021,0.44237575
29/12/2021,0.3516628
30/12/2021,0.5532674
31/12/2021,0.83041584
01/01/2022,0.58261716
02/01/2022,0.21969698
03/01/2022,0.07286858
04/01/2022,0.027733432
05/01/2022,0.11876428
06/01/2022,0.22201043
07/01/2022,0.14922401
08/01/2022,0.051241603
09/01/2022,0.65922725
10/01/2022,0.70279866
11/01/2022,1.055303
12/01/2022,0.93087715
13/01/2022,0.4982744
14/01/2022,0.4201302
15/01/2022,0.5696527
16/01/2022,0.6105726
17/01/2022,0.7919486
18/01/2022,0.6221823
19/01/2022,0.58823705
20/01/2022,0.7954289
21/01/2022,0.14053191
22/01/2022,0.092500634
23/01/2022,0.2548362
24/01/2022,0.09442702
25/01/2022,0.19123465
26/01/2022,0.27732915
27/01/2022,0.5007475
28/01/2022,0.18941146
29/01/2022,0.08666628
30/01/2022,0.24090287
31/01/2022,0.41403657
