date,t2m
23/06/2021,27.462578
24/06/2021,26.453094
25/06/2021,27.697802
26/06/2021,27.602169
27/06/2021,28.295448
28/06/2021,26.586145
29/06/2021,27.973267
30/06/2021,28.094378
01/07/2021,28.05461
02/07/2021,27.77103
03/07/2021,27.732273
04/07/2021,28.01442
05/07/2021,27.813782
06/07/2021,26.99942
07/07/2021,27.756477
08/07/2021,27.516233
09/07/2021,27.437897
10/07/2021,28.125237
11/07/2021,28.43798
12/07/2021,27.737497
13/07/2021,27.938421
14/07/2021,27.518625
15/07/2021,27.616457
16/07/2021,27.218327
17/07/2021,27.629585
18/07/2021,27.914785
19/07/2021,28.13604
20/07/2021,28.120607
21/07/2021,28.085243
22/07/2021,27.782925
23/07/2021,27.94611
24/07/2021,27.532883
25/07/2021,27.407084
26/07/2021,27.048016
27/07/2021,26.966043
28/07/2021,27.146008
29/07/2021,27.613993
30/07/2021,27.932213
31/07/2021,27.902418
01/08/2021,27.99721
02/08/2021,27.744476
03/08/2021,28.036585
04/08/2021,28.27571
05/08/2021,28.294415
06/08/2021,28.429487
07/08/2021,28.32798
08/08/2021,28.18623
09/08/2021,28.01971
10/08/2021,27.762978
11/08/2021,27.658703
12/08/2021,27.671886
13/08/2021,28.016502
14/08/2021,28.315117
15/08/2021,28.43238
16/08/2021,28.1222
17/08/2021,28.35368
18/08/2021,27.944681
19/08/2021,27.421091
20/08/2021,27.799572
21/08/2021,27.82661
22/08/2021,27.897274
23/08/2021,27.801226
24/08/2021,27.659788
25/08/2021,27.815672
26/08/2021,27.556648
27/08/2021,28.06236
28/08/2021,28.069462
29/08/2021,28.747532
30/08/2021,28.447035
31/08/2021,28.379368
01/09/2021,28.185661
02/09/2021,28.01374
03/09/2021,28.068941
04/09/2021,28.111216
05/09/2021,28.114923
06/09/2021,28.373781
07/09/2021,28.388577
08/09/2021,28.230268
09/09/2021,28.304949
10/09/2021,28.830105
11/09/2021,27.765253
12/09/2021,27.394297
13/09/2021,27.884491
14/09/2021,26.778183
15/09/2021,28.165342
16/09/2021,28.186028
17/09/2021,28.60569
18/09/2021,28.77781
19/09/2021,28.50398
20/09/2021,28.16644
21/09/2021,28.0416
22/09/2021,28.366701
23/09/2021,28.191236
24/09/2021,27.935755
25/09/2021,27.943167
26/09/2021,27.996622
27/09/2021,28.421165
28/09/2021,28.419586
29/09/2021,28.638319
30/09/2021,28.589321
01/10/2021,28.500648
02/10/2021,27.938612
03/10/2021,27.99315
04/10/2021,27.505201
05/10/2021,28.168583
06/10/2021,27.913548
07/10/2021,28.192478
08/10/2021,28.32603
09/10/2021,28.553062
10/10/2021,28.782082
11/10/2021,28.66398
12/10/2021,28.9202
13/10/2021,28.61893
14/10/2021,28.807434
15/10/2021,29.099648
16/10/2021,28.893717
17/10/2021,28.74159
18/10/2021,27.419203
19/10/2021,27.989805
20/10/2021,28.928965
21/10/2021,28.62753
22/10/2021,28.961805
23/10/2021,28.907423
24/10/2021,28.81349
25/10/2021,28.78248
26/10/2021,28.518425
27/10/2021,27.677675
28/10/2021,28.516415
29/10/2021,28.448174
30/10/2021,28.06901
31/10/2021,27.471731
01/11/2021,27.48867
02/11/2021,27.48654
03/11/2021,28.590036
04/11/2021,27.749552
05/11/2021,27.18865
06/11/2021,28.451368
07/11/2021,28.158806
08/11/2021,28.34163
09/11/2021,27.892479
10/11/2021,27.783888
11/11/2021,27.109005
12/11/2021,27.526758
13/11/2021,27.09846
14/11/2021,26.731962
15/11/2021,26.082563
16/11/2021,26.878176
17/11/2021,27.745806
18/11/2021,28.189978
19/11/2021,27.346626
20/11/2021,26.526604
21/11/2021,27.7945
22/11/2021,28.094116
23/11/2021,27.120108
24/11/2021,27.379522
25/11/2021,27.223177
26/11/2021,27.390676
27/11/2021,27.01304
28/11/2021,26.498053
29/11/2021,27.331415
30/11/2021,26.883528
01/12/2021,27.266642
02/12/2021,27.515652
03/12/2021,27.925062
04/12/2021,27.017313
05/12/2021,27.291115
06/12/2021,27.353472
07/12/2021,27.956455
08/12/2021,27.457758
09/12/2021,27.684105
10/12/2021,27.54576
11/12/2021,27.41452
12/12/2021,27.96486
13/12/2021,27.847954
14/12/2021,27.646206
15/12/2021,26.993565
16/12/2021,27.098112
17/12/2021,28.14959
18/12/2021,28.343557
19/12/2021,28.11162
20/12/2021,27.347443
21/12/2021,26.544704
22/12/2021,28.597878
23/12/2021,28.043888
24/12/2021,28.383705
25/12/2021,27.863539
26/12/2021,28.043001
27/12/2021,27.40301
28/12/2021,27.24036
29/12/2021,27.880905
30/12/2021,27.108585
31/12/2021,26.761234
01/01/2022,26.873665
02/01/2022,26.893694
03/01/2022,27.262953
04/01/2022,27.708447
05/01/2022,27.616678
06/01/2022,27.329584
07/01/2022,27.259855
08/01/2022,28.226202
09/01/2022,26.889175
10/01/2022,27.369078
11/01/2022,26.437326
12/01/2022,26.305393
13/01/2022,27.01365
14/01/2022,27.69526
15/01/2022,26.973152
16/01/2022,26.982073
17/01/2022,27.059631
18/01/2022,26.385796
19/01/2022,26.52902
20/01/2022,25.98446
21/01/2022,27.275984
22/01/2022,27.432377
23/01/2022,27.998945
24/01/2022,28.291615
25/01/2022,27.719048
26/01/2022,27.609303
27/01/2022,27.47682
28/01/2022,27.394283
29/01/2022,27.637367
30/01/2022,27.516825
31/01/2022,27.525692
01/02/2022,27.150475
02/02/2022,27.601814
03/02/2022,27.568361
04/02/2022,27.467245
05/02/2022,27.234161
06/02/2022,27.004972
07/02/2022,26.320438
08/02/2022,27.053799
09/02/2022,26.995182
10/02/2022,27.137987
11/02/2022,26.670218
12/02/2022,26.603308
13/02/2022,26.552975
14/02/2022,26.986616
15/02/2022,27.186026
16/02/2022,27.210445
17/02/2022,26.794601
18/02/2022,26.4776
19/02/2022,28.05147
20/02/2022,27.343594
21/02/2022,26.785347
22/02/2022,27.219618
23/02/2022,26.856197
24/02/2022,27.190336
25/02/2022,27.129557
26/02/2022,26.795288
27/02/2022,27.019388
28/02/2022,26.671513
01/03/2022,26.847727
02/03/2022,27.275223
03/03/2022,27.456093
04/03/2022,27.61125
05/03/2022,27.62413
06/03/2022,27.332907
07/03/2022,26.959873
08/03/2022,26.701149
09/03/2022,26.92266
10/03/2022,26.857748
11/03/2022,27.25334
12/03/2022,27.138426
13/03/2022,27.556087
14/03/2022,27.685843
15/03/2022,27.717709
16/03/2022,27.904564
17/03/2022,28.722189
18/03/2022,28.39706
19/03/2022,27.47058
20/03/2022,27.054241
21/03/2022,26.918999
22/03/2022,26.796997
23/03/2022,27.255983
24/03/2022,28.171606
25/03/2022,28.38967
26/03/2022,27.73379
27/03/2022,27.27137
28/03/2022,28.166138
29/03/2022,28.209724
30/03/2022,27.940773
31/03/2022,27.637007
01/04/2022,27.247896
02/04/2022,27.854626
03/04/2022,27.22992
04/04/2022,27.592264
05/04/2022,28.08245
06/04/2022,28.163256
07/04/2022,27.917429
08/04/2022,28.290867
09/04/2022,28.292942
10/04/2022,28.285147
11/04/2022,28.77498
12/04/2022,28.61022
13/04/2022,28.717813
14/04/2022,28.94989
15/04/2022,29.14112
16/04/2022,28.55763
17/04/2022,28.58347
18/04/2022,27.81388
19/04/2022,26.539223
20/04/2022,27.391602
21/04/2022,27.135092
22/04/2022,28.439255
23/04/2022,28.388365
24/04/2022,28.183517
25/04/2022,28.513336
26/04/2022,27.552116
27/04/2022,27.65846
28/04/2022,27.92644
29/04/2022,28.223534
30/04/2022,27.416866
01/05/2022,28.482239
02/05/2022,29.36201
03/05/2022,29.253273
04/05/2022,28.642561
05/05/2022,28.802908
06/05/2022,28.560642
07/05/2022,28.705925
08/05/2022,27.948042
09/05/2022,27.97494
10/05/2022,28.108826
11/05/2022,28.164846
12/05/2022,28.173433
13/05/2022,28.214622
14/05/2022,28.195532
15/05/2022,28.881142
16/05/2022,28.446238
17/05/2022,27.85024
18/05/2022,27.659733
19/05/2022,27.465319
20/05/2022,26.982162
21/05/2022,27.343975
22/05/2022,28.717075
23/05/2022,29.122288
24/05/2022,28.534172
25/05/2022,27.70095
26/05/2022,26.068825
27/05/2022,27.42041
28/05/2022,28.17259
29/05/2022,27.960054
30/05/2022,28.507372
31/05/2022,28.317356
01/06/2022,27.63736
02/06/2022,28.33093
03/06/2022,28.3011
04/06/2022,27.665668
05/06/2022,27.166277
06/06/2022,27.249847
07/06/2022,28.335928
08/06/2022,27.43383
09/06/2022,27.441519
10/06/2022,27.775448
11/06/2022,27.847738
12/06/2022,27.41534
13/06/2022,26.778875
14/06/2022,27.369165
15/06/2022,27.571665
16/06/2022,27.156618
17/06/2022,26.957968
18/06/2022,27.897276
19/06/2022,27.212532
20/06/2022,27.820572
21/06/2022,28.1503
22/06/2022,28.29969
23/06/2022,27.693438
24/06/2022,27.815287
25/06/2022,27.696554
26/06/2022,26.797287
27/06/2022,27.278072
28/06/2022,27.541786
29/06/2022,27.89868
30/06/2022,27.781721
